RxTime;TxxPos;gap_platoon;num_platoon;RxxPos;distance_4-p;destination_p;request
2736;67;10;4;1.05393;35.9461;110;10
2836;68;10;4;2.55393;35.4461;110;10
2936;69;10;4;4.05393;34.9461;110;10
3036;70;10;4;5.55393;34.4461;110;10
3136;71;10;4;7.05393;33.9461;110;10
3236;72;10;4;8.55393;33.4461;110;10
3336;73;10;4;10.0539;32.9461;110;10
3436;74;10;4;11.5539;32.4461;110;10
3536;75;10;4;13.0539;31.9461;110;10
3636;76;10;4;14.5539;31.4461;110;10
3736;77;10;4;16.0539;30.9461;110;10
3836;78;10;4;17.5539;30.4461;110;10
3936;79;10;4;19.0539;29.9461;110;1
4036;80;10;4;20.5539;29.4461;110;1
4136;81;10;5;22.0521;18.9479;110;1
4236;82;10;5;23.5489;18.4511;110;1
4336;83;10;5;25.0456;17.9544;110;1
4436;84;10;5;26.5422;17.4578;110;1
4536;85;10;5;28.0387;16.9613;110;1
4636;86;10;5;29.5351;16.4649;110;1
4736;87;10;5;31.0314;15.9686;110;1
4836;88;10;5;32.5276;15.4724;110;1
4936;89;10;5;34.0237;14.9763;110;1
5036;90;10;5;35.5196;14.4804;110;1
5136;91;10;5;37.0154;13.9846;110;1
5236;92;10;5;38.5111;13.4889;110;1
5336;93;10;5;40.0066;12.9934;110;1
5436;94;10;5;41.502;12.498;110;1
5536;95;10;5;42.9972;12.0028;110;1
5636;96;10;5;44.4921;11.5079;110;1
5736;97;10;5;45.9869;11.0131;110;1
5836;98;10;5;47.4815;10.5185;110;1
5936;99;10;5;48.9758;10.0242;110;1
6036;100;10;5;50.4698;9.53019;110;1
6136;101;10;5;51.9636;9.03645;110;1
6236;102;10;5;53.457;8.54303;110;1
6336;103;10;5;54.95;8.04998;110;1
6436;104;10;5;56.4427;7.55733;110;1
6536;105;10;5;57.9349;7.06513;110;1
6636;106;10;5;59.4266;6.57344;110;1
6736;107;10;5;60.9177;6.08234;110;1
6836;108;10;5;62.4081;5.5919;110;1
6936;109;10;5;63.8978;5.10225;110;1
7036;110;10;5;65.3865;4.6135;110;1
7136;111;10;5;66.8742;4.12585;110;1
7236;112;10;5;68.3605;3.63951;110;1
7336;113;10;5;69.8452;3.15481;110;1
7436;114;10;5;71.3278;2.67217;110;1
7536;115;10;5;72.8078;2.19223;110;1
7636;116;10;5;74.284;1.71597;110;1
7736;117;10;5;75.755;1.24501;110;1
7836;118;10;5;77.2177;0.782313;110;1
7936;119;10;5;78.6658;0.334228;110;1
8036;120;10;5;80.0813;0.0813102;110;1
8136;121;10;5;81.3671;0.367136;110;1
8236;122;10;5;82.3621;0.362127;110;1
8336;123;10;5;83.3621;0.362127;110;1
8436;124;10;5;84.3621;0.362127;110;1
8536;125;10;5;85.3621;0.362127;110;1
8636;126;10;5;86.3621;0.362127;110;1
8736;127;10;5;87.3621;0.362127;110;1
8836;128;10;5;88.3621;0.362127;110;1
8936;129;10;5;89.3621;0.362127;110;1
9036;130;10;5;90.3621;0.362127;110;1
9136;131;10;5;91.3621;0.362127;110;1
9236;132;10;5;92.3621;0.362127;110;1
9336;133;10;5;93.3621;0.362127;110;1
9436;134;10;5;94.3621;0.362127;110;1
9536;135;10;5;95.3621;0.362127;110;1
9636;136;10;5;96.3621;0.362127;110;1
9736;137;10;5;97.3621;0.362127;110;1
9836;138;10;5;98.3621;0.362127;110;1
9936;139;10;5;99.3621;0.362127;110;1
10036;140;10;5;100.362;0.362127;110;1
10136;141;10;5;101.362;0.362127;110;1
10236;142;10;5;102.362;0.362127;110;1
10336;143;10;5;103.362;0.362127;110;1
10436;144;10;5;104.362;0.362127;110;1
10536;145;10;5;105.362;0.362127;110;1
10636;146;10;5;106.362;0.362127;110;1
10736;147;10;5;107.362;0.362127;110;1
10836;148;10;5;108.362;0.362127;110;1
10936;149;10;5;109.362;0.362127;110;1
11036;150;10;5;110.362;0.362127;110;1
11136;151;10;5;111.362;0.362127;110;1
11236;152;10;5;112.362;0.362127;110;1
11336;153;10;5;113.362;0.362127;110;1
11436;154;10;5;114.362;0.362127;110;1
11536;155;10;5;115.362;0.362127;110;1
11636;156;10;5;116.362;0.362127;110;1
11736;157;10;5;117.362;0.362127;110;1
11836;158;10;5;118.362;0.362127;110;1
11936;159;10;5;119.362;0.362127;110;1
12036;160;10;5;120.362;0.362127;110;1
12136;161;10;5;121.362;0.362127;110;1
12236;162;10;5;122.362;0.362127;110;1
12336;163;10;5;123.362;0.362127;110;1
12436;164;10;5;124.362;0.362127;110;1
12536;165;10;5;125.362;0.362127;110;1
12636;166;10;5;126.362;0.362127;110;1
12736;167;10;5;127.362;0.362127;110;1
12836;168;10;5;128.362;0.362127;110;1
12936;169;10;5;129.362;0.362127;110;1
13036;170;10;5;130.362;0.362127;110;1
13136;171;10;5;131.362;0.362127;110;1
13236;172;10;5;132.362;0.362127;110;1
13336;173;10;5;133.362;0.362127;110;1
13436;174;10;5;134.362;0.362127;110;1
13536;175;10;5;135.362;0.362127;110;1
13636;176;10;5;136.362;0.362127;110;1
13736;177;10;5;137.362;0.362127;110;1
13836;178;10;5;138.362;0.362127;110;1
13936;179;10;5;139.362;0.362127;110;1
14036;180;10;5;140.362;0.362127;110;1
14136;181;10;5;141.362;0.362127;110;1
14236;182;10;5;142.362;0.362127;110;1
14336;183;10;5;143.362;0.362127;110;1
14436;184;10;5;144.362;0.362127;110;1
14536;185;10;5;145.362;0.362127;110;1
14636;186;10;5;146.362;0.362127;110;1
14736;187;10;5;147.362;0.362127;110;1
14836;188;10;5;148.362;0.362127;110;1
14936;189;10;5;149.362;0.362127;110;1
15036;190;10;5;150.362;0.362127;110;1
15136;191;10;5;151.362;0.362127;110;1
15236;192;10;5;152.362;0.362127;110;1
15336;193;10;5;153.362;0.362127;110;1
15436;194;10;5;154.362;0.362127;110;1
15536;195;10;5;155.362;0.362127;110;1
15636;196;10;5;156.362;0.362127;110;1
15736;197;10;5;157.362;0.362127;110;1
15836;198;10;5;158.362;0.362127;110;1
15936;199;10;5;159.362;0.362127;110;1
16036;200;10;5;160.362;0.362127;110;1
16136;201;10;5;161.362;0.362127;110;1
16236;202;10;5;162.362;0.362127;110;1
16336;203;10;5;163.362;0.362127;110;1
16436;204;10;5;164.362;0.362127;110;1
16536;205;10;5;165.362;0.362127;110;1
16636;206;10;5;166.362;0.362127;110;1
16736;207;10;5;167.362;0.362127;110;1
16836;208;10;5;168.362;0.362127;110;1
16936;209;10;5;169.362;0.362127;110;1
17036;210;10;5;170.362;0.362127;110;1
17136;211;10;5;171.362;0.362127;110;1
17236;212;10;5;172.362;0.362127;110;1
17336;213;10;5;173.362;0.362127;110;1
17436;214;10;5;174.362;0.362127;110;1
17536;215;10;5;175.362;0.362127;110;1
17636;216;10;5;176.362;0.362127;110;1
17736;217;10;5;177.362;0.362127;110;1
17836;218;10;5;178.362;0.362127;110;1
17936;219;10;5;179.362;0.362127;110;1
18036;220;10;5;180.362;0.362127;110;1
18136;221;10;5;181.362;0.362127;110;1
18236;222;10;5;182.362;0.362127;110;1
18336;223;10;5;183.362;0.362127;110;1
18436;224;10;5;184.362;0.362127;110;1
18536;225;10;5;185.362;0.362127;110;1
18636;226;10;5;186.362;0.362127;110;1
18736;227;10;5;187.362;0.362127;110;1
18836;228;10;5;188.362;0.362127;110;1
18936;229;10;5;189.362;0.362127;110;1
19036;230;10;5;190.362;0.362127;110;1
19136;231;10;5;191.362;0.362127;110;1
19236;232;10;5;192.362;0.362127;110;1
19336;233;10;5;193.362;0.362127;110;1
19436;234;10;5;194.362;0.362127;110;1
19536;235;10;5;195.362;0.362127;110;1
19636;236;10;5;196.362;0.362127;110;1
19736;237;10;5;197.362;0.362127;110;1
19836;238;10;5;198.362;0.362127;110;1
19936;239;10;5;199.362;0.362127;110;1
20036;240;10;5;200.362;0.362127;110;1
